french,ewe,source,type,french_length,ewe_length
"""C'est moins lourd pour les enfants, pour le systeme et beaucoup plus effectif. """,ele hodzoe na ɖeviwo kple ame bubu geɖewo,https://ellecitoyenne.com/,"Blog, News",14,8
"""Il ne nous reste que nous, si nous voulons un jour espérer un changement. """,mía ŋutɔwo dzi ɖeɖe ko wole be míaka ɖo ne miedzi tɔtrɔ la,https://ellecitoyenne.com/,"Blog, News",15,13
"""Pendant quelques années, Histoire et History étaient également enseignées dans l'autre langue, jusqu'à ce qu'un beau matin les Inspecteurs Pédagogiques Nationaux se rendent compte que les contenus étaient différents (amusant non ?), et là History a quitté la liste des matieres à enseigner dans l'autre langue. """,tsakakatsaka ɖeke magava eme le akɔdada le kamalo kple teƒe bubuwo ke azɔ̃ o,https://ellecitoyenne.com/,"Blog, News",47,14
"""Ainsi, à travers une lecture littérale de la Bible, les autorités supérieures sont considérées comme étant les autorités temporelles, politiques. """,Aleae to bibla xexle me la miedoa dzesi be dukpɔla siwo le   zidzi egbe la li na ɣeyiɣi kpui aɖe ko,https://ellecitoyenne.com/,"Blog, News",21,21
"""Le prof d'EPS qui donne des cours de langue ? Non mais on est où ? Comment Est-ce qu'ils en sont arrivés là?  Si, en théorie, le PEBS a plutôt été bien pensé, la bonne marche des activités a été entravée par plusieurs parametres. """,meli ʋliʋlim xena fetu sɔsɔe xɔxɔ le dɔ ƒomevi  wɔwɔ me,https://ellecitoyenne.com/,"Blog, News",45,11
"J peur des aiguilles,",Mele abuiawo vɔ̃m,TakwimuLab,Daily lfe,4,3
"""com/exlN8GUJ8  @NgoNkono ton fils au beau sourire sur ta banniere là , tu aurais été heureuse que son corps méconnaissable soit affiché ici ? Serieuse. """,com/exlN8GUJ8  @NgoNkono ɖe nedzi be woada viwò ɖekakpui nyui ma ƒe ŋutilã kukua ɖe afisia mahã?,https://ellecitoyenne.com/,"Blog, News",26,16
"Aujourd'hui avec du recul, quand bien même ils ont été lâches par crainte qu'il ne leur coupe les vivres, je comprends mieux leur position,","ke egbe la, togbɔ be wome wɔe nyui le vɔvɔ̃ta abe agbe nu nana yéwo la, mese woƒe nuwɔna gɔme",https://leschroniquesdetchonte.com/,Blog,24,20
"
Nous avons parlé de Sarkozy, du FMI, de rugby, du parti des togolais, des Kangourous…bref, l’alcool aidant nous avons parlé de tout et de rien, puis passé à table","mieƒo tso sarkozy, FMI kple nu geɖewo ŋu le aha ƒe kpekpeɖeŋu ta hafi yi ɖe kplɔ ŋu",https://aphtalcisse.tg/,Blog,29,18
"Comment ça m'a fait me sentir, penser et écrire,","alesi wona mese le ɖokuinye me, me bu tame eye meŋlɔ nu la",https://leschroniquesdetchonte.com/,Blog,9,13
"Très apprécié par Hans-Dieter Flick qui l’a côtoyé en sélection allemande, Leroy Sané ne pouvait pas connaître meilleurs débuts",Leroy Sané si nu doa dzidzɔ na hans dieter la makpɔ nyuie wu esia o,https://l-frii.com/,News,19,15
Savez-vous ce qui a motivé le choix du Fufulde comme langue nationale?  Nous avancerons quand nous aurons accepté et avoué au grand jour que nous sommes fascinés par l'Occident et tout ce qu'il nous offre. ,mienya nusita wodasi ɖe Fufulde dzi be eya ye anye gbe si wole be míado mahã?míade tso ɣeyiɣi sime míadzudzɔ nuʋaʋã yevuwo,https://ellecitoyenne.com/,"Blog, News",35,22
"On n'a pas vraiment un marché,",mieɖo nusaƒe gobi aɖeke hã o,https://leschroniquesdetchonte.com/,Blog,6,6
"Après une phase de sensibilisation, les autorités camerounaises ont indiqué qu’il n’y aura plus une autre période de probation, ce qui laisse croire que dès le 1er octobre 2020, la Loi entrera en vigueur sans aucune autre forme de procès","le nuƒo na amewo vɔ megbe la, kamalodziɖuɖua be ɣeyiɣi bubu maga nɔ anyi na esia o si fia be sea adze dɔ gɔme tso kele 1tɔ dzi",https://l-frii.com/,News,40,28
"Comme un vent violent se déchaîna soudainement et éteignit le charbon de bois sur lequel était posé la marmite du grillot de cochon, Brise-Montagne prit la viande à pleines mains et l'avala toute crue.","Abe ya sesẽ aɖe si tso ka ene la, etsi dzo si dzi wo da hãmekpo ɖi la, Togbala tsɔ lã la hemi gbla mabimabie.",https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,34,25
On est toujours fier de ces amis qui osent faire le pas,ne xɔ̃wo aɖe le afɔ sia ɖem la dzidzɔ wonye na,https://aphtalcisse.tg/,Blog,12,11
" Ils marchaient côte à côte mais David ralentissait volontairement pour laisser Jessica passer devant, histoire de mieux reluquer son derrière qui offre la mort aux politiciens","wonɔ zɔzɔm le wo nɔewo xa gake David gbɔdzɔa azɔlia alebe yeakpɔ gbi si le dun,yagblɔlawo wum la ɖa",https://aphtalcisse.tg/,Blog,26,19
